title,artist,weeks,peak_rank,peak_date,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,9.0,30.0,1959-03-25,35ySEC3RyS1w36bkpgj1lT,Rebel Rouser,Have 'Twangy' Guitar Will Travel,44.0,N,1958,0.532,0.629,-7.879,0.0338,0.0529,0.9,0.109,0.634,6.0,0.0,105.557,143.627
('til) I Kissed You,The Everly Brothers,16.0,4.0,1959-08-12,2ltpYs0O8uNesHFgGHg0bt,('Til) I Kissed You,The Fabulous Style Of The Everly Brothers,47.0,N,1960-01-01,0.569,0.465,-10.431,0.0438,0.614,0.0,0.342,0.664,1.0,1.0,141.087,145.96
(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson,4.0,88.0,1961-04-19,0rI1QQ8kMc7MH7LgnOPteX,The Waltzing Cat,The Waltzing Cat,37.0,Y,2004-02-14,0.357,0.0663,-21.7,0.0415,0.983,0.68,0.0553,0.246,7.0,1.0,133.759,166.547
(All of a Sudden) My Heart Sings,Paul Anka,17.0,15.0,1958-12-17,0zKZqHPNUKjjhsUJHT06RZ,(All Of A Sudden) My Heart Sings - Remastered,My Heart Sings (Remastered),33.0,N,1959-01-01,0.435,0.36,-10.179,0.0298,0.78,0.0,0.513,0.342,4.0,1.0,111.446,182.56
(Baby) Hully Gully,The Olympics,7.0,72.0,1960-01-27,2CkbNJooPxUsHG4gFXKhxa,Baby Hully Gully,Doin' the Hully Gully,3.0,N,1960-07-06,0.699,0.661,-6.09,0.0382,0.516,0.0,0.198,0.869,2.0,1.0,115.772,218.642
(Dance The) Mess Around,Chubby Checker,7.0,24.0,1961-04-19,58EirkLFB6O6wwRN9JowHB,Dance The Mess Around,Dancin' Party: The Chubby Checker Collection (1960-1966),18.0,N,2020-06-19,0.511,0.694,-5.509,0.0479,0.381,0.0,0.195,0.826,10.0,1.0,146.559,132.933
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,2.0,84.0,1960-02-10,4W7ps5zORgRWe691hlxXzC,(Do The) Mashed Potatoes Part 1,Star Time,12.0,N,1991-01-01,0.745,0.837,-9.169,0.0467,0.511,0.339,0.191,0.932,7.0,1.0,134.471,112.4
(Doin' The) Lovers Leap,Webb Pierce,2.0,93.0,1960-04-20,2jX30KTWE5wQS7RdqvJO1X,(Doin' The) Lovers Leap,"Hundred Year Webb, Vol. 2",3.0,N,2021-07-23,0.788,0.356,-10.682,0.0357,0.516,3.98e-05,0.0655,0.925,10.0,1.0,132.654,131.667
(Ghost) Riders In The Sky,Ramrods,9.0,30.0,1961-01-04,7JqK0JRlIunCuy0uxY3Zsw,Ghost Riders in the Sky,Loco Drive - In,25.0,N,2015-01-12,0.445,0.835,-7.598,0.0455,0.745,0.601,0.613,0.351,5.0,1.0,120.956,154.827
(I Can't Help You) I'm Falling Too,Skeeter Davis,7.0,39.0,1960-08-17,5MXe6dKcR6iO33GWzVW8cr,(I Can't Help You) I'm Falling Too,The Essential Skeeter Davis,23.0,N,1994-05-23,0.617,0.197,-12.145,0.0267,0.777,0.0,0.133,0.384,9.0,1.0,91.209,165.267
