title,artist,weeks,peak_rank,date
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,9.0,30.0,1959-03-25
('til) I Kissed You,The Everly Brothers,16.0,4.0,1959-08-12
(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson,4.0,88.0,1961-04-19
(All of a Sudden) My Heart Sings,Paul Anka,17.0,15.0,1958-12-17
(Baby) Hully Gully,The Olympics,7.0,72.0,1960-01-27
(Dance The) Mess Around,Chubby Checker,7.0,24.0,1961-04-19
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,2.0,84.0,1960-02-10
(Doin' The) Lovers Leap,Webb Pierce,2.0,93.0,1960-04-20
(Ghost) Riders In The Sky,Ramrods,9.0,30.0,1961-01-04
(I Can't Help You) I'm Falling Too,Skeeter Davis,7.0,39.0,1960-08-17
(I Do The) Shimmy Shimmy,Bobby Freeman,13.0,37.0,1960-08-10
(I Don't Care) Only Love Me,Steve Lawrence,4.0,62.0,1959-05-13
(I Wanna) Dance With The Teacher,The Olympics,5.0,71.0,1958-12-03
(I Wanna) Love My Life Away,Gene Pitney,8.0,39.0,1961-01-25
(I'll Be With You In) Apple Blossom Time,Tab Hunter,11.0,31.0,1959-01-28
(I've Got) Spring Fever,Little Willie John,5.0,71.0,1961-05-10
"(If You Cry) True Love, True Love",The Drifters,11.0,33.0,1959-10-28
(It Never Happens) In Real Life,Chuck Jackson,7.0,46.0,1961-04-05
(It's Been A Long Time) Pretty Baby,Gino & Gina,1.0,46.0,1958-01-01
(Let's Do) The Hully Gully Twist,Bill Doggett,3.0,66.0,1960-12-21
(Love Theme From) One Eyed Jacks,Ferrante & Teicher,7.0,37.0,1961-03-15
(New In) The Ways Of Love,Tommy Edwards,9.0,47.0,1959-11-11
(Night Time Is) The Right Time,Ray Charles with the Raylettes,1.0,95.0,1959-02-04
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,15.0,2.0,1959-03-18
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,18.0,9.0,1959-09-09
(The Clickity Clack Song) Four Little Heels,Brian Hyland,3.0,73.0,1960-10-05
"(Theme From) ""Goodbye Again""",Ferrante & Teicher,4.0,85.0,1961-06-07
(Theme From) The Sundowners,Mantovani & His Orchestra,1.0,93.0,1960-11-02
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman,6.0,70.0,1960-10-19
(Theme from) My Three Sons,Lawrence Welk And His Orchestra,7.0,55.0,1961-03-15
(Theme from) The Great Impostor,Henry Mancini And His Orchestra,1.0,90.0,1961-03-29
(There Was A) Tall Oak Tree,Dorsey Burnette,15.0,23.0,1960-01-27
(Welcome) New Lovers,Pat Boone,12.0,18.0,1960-02-17
(You Better) Know What You're Doin',Lloyd Price and His Orchestra,2.0,90.0,1960-11-30
(You Were Made For) All My Love,Jackie Wilson,13.0,12.0,1960-07-06
(You've Got To) Move Two Mountains,Marv Johnson,11.0,20.0,1960-08-31
16 Candles,The Crests,21.0,2.0,1958-11-19
77 Sunset Strip,The Big Sound Of Don Ralke,5.0,69.0,1959-04-01
A Big Hunk O' Love,Elvis Presley With The Jordanaires,14.0,1.0,1959-07-01
A Boy Without A Girl,Frankie Avalon,14.0,10.0,1959-05-20
A Certain Smile,Johnny Mathis,9.0,22.0,1958-01-01
A City Girl Stole My Country Boy,Patti Page,1.0,90.0,1961-04-05
A Closer Walk,Pete Fountain,3.0,93.0,1960-02-03
A Cottage For Sale,Little Willie John,6.0,63.0,1960-05-04
A Cross Stands Alone,Jimmy Witter,4.0,89.0,1961-04-26
A Dollar Down,The Limeliters,3.0,60.0,1961-04-19
A Fool In Love,Ike & Tina Turner,13.0,27.0,1960-08-24
A Girl Like You,Gary Stites,5.0,80.0,1959-07-15
A Girl's Work Is Never Done,The Chordettes,3.0,89.0,1959-08-12
